"filename", "language", "Markdown", "YAML", "JSON with Comments", "Shell Script", "Python", "toml", "Properties", "Makefile", "Docker", "Ini", "comment", "blank", "total"
"d:\Zhidao-Jinggang-backend\.devcontainer\README.md", "Markdown", 163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 205
"d:\Zhidao-Jinggang-backend\.devcontainer\check-db.sh", "Shell Script", 0, 0, 0, 123, 0, 0, 0, 0, 0, 0, 9, 18, 150
"d:\Zhidao-Jinggang-backend\.devcontainer\connect-db.sh", "Shell Script", 0, 0, 0, 284, 0, 0, 0, 0, 0, 0, 15, 47, 346
"d:\Zhidao-Jinggang-backend\.devcontainer\devcontainer.json", "JSON with Comments", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50
"d:\Zhidao-Jinggang-backend\.devcontainer\docker-compose.yml", "YAML", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 59
"d:\Zhidao-Jinggang-backend\.devcontainer\quick-check.sh", "Shell Script", 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 8, 12, 89
"d:\Zhidao-Jinggang-backend\.devcontainer\start.sh", "Shell Script", 0, 0, 0, 145, 0, 0, 0, 0, 0, 0, 15, 28, 188
"d:\Zhidao-Jinggang-backend\.pre-commit-config.yaml", "YAML", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 9, 10, 77
"d:\Zhidao-Jinggang-backend\.project.md", "Markdown", 181, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 214
"d:\Zhidao-Jinggang-backend\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 13, 12, 52
"d:\Zhidao-Jinggang-backend\Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 0, 128, 0, 0, 15, 34, 177
"d:\Zhidao-Jinggang-backend\README.md", "Markdown", 171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 230
